,ph,temperature,datetime,do_linreg,dvd_dev_id,rounded_datetime,airtemp,humid,precipitation (mm),surface_pressure (hPa),windspeed_10m (km/h),light,Depth,temperature^2,airtemp^2,temp*airtemp,depth*temp,do_knn,do
316,8.631294511939673,31.48698698161479,2023-06-12 02:26:14.697330,8.53,2,2023-06-12 02:00:00,27.0,96,0.0,998.4,5.6,0.0,1.2192,991.4303491803794,729.0,850.1486485035994,38.38893452798475,9.370000000000001,9.405
317,8.67151235860913,31.578103749527717,2023-06-12 02:42:40.503176,8.526,2,2023-06-12 03:00:00,26.9,97,0.0,998.1,5.6,0.0,1.2192,997.1766364159364,723.6099999999999,849.4509908622955,38.500024091424194,9.370000000000001,9.405
318,8.591076665270212,31.578103749527717,2023-06-12 02:59:06.123204,8.55,2,2023-06-12 03:00:00,26.9,97,0.0,998.1,5.6,0.0,1.2192,997.1766364159364,723.6099999999999,849.4509908622955,38.500024091424194,9.370000000000001,9.405
319,8.67151235860913,31.669324029471,2023-06-12 03:15:33.063204,8.534,2,2023-06-12 03:00:00,26.9,97,0.0,998.1,5.6,0.0,1.2192,1002.9460844836293,723.6099999999999,851.9048163927698,38.611239856731046,9.370000000000001,9.405
320,8.631294511939673,31.760648668138742,2023-06-12 03:31:59.965937,8.553,2,2023-06-12 04:00:00,26.8,97,0.0,997.6,5.6,0.0,1.2192,1008.7388038209433,718.24,851.1853843061183,38.722582856194755,9.370000000000001,9.405
321,8.711730205278592,31.852078516427355,2023-06-12 03:48:27.318266,8.538,2,2023-06-12 04:00:00,26.8,97,0.0,997.6,5.6,0.0,1.2192,1014.554905816653,718.24,853.6357042402532,38.834054127228235,9.370000000000001,9.405
322,8.550858818600755,31.852078516427355,2023-06-12 04:04:53.120552,8.585,2,2023-06-12 04:00:00,26.8,97,0.0,997.6,5.6,0.0,1.2192,1014.554905816653,718.24,853.6357042402532,38.834054127228235,9.370000000000001,9.405
323,8.591076665270212,31.9436144294844,2023-06-12 04:21:19.945186,8.581,2,2023-06-12 04:00:00,26.8,97,0.0,997.6,5.6,0.0,1.2192,1020.3945028195639,718.24,856.088866710182,38.945654712427384,9.370000000000001,9.405
324,8.67151235860913,32.12700789204939,2023-06-12 04:37:47.656035,8.573,2,2023-06-12 05:00:00,26.7,97,0.0,997.6,5.1,0.0,1.2192,1032.144636095804,712.89,857.7911107177188,39.16924802198662,9.0325,9.405
325,8.550858818600755,32.218867173558806,2023-06-12 04:54:15.940076,8.616,2,2023-06-12 05:00:00,26.7,97,0.0,997.6,5.1,0.0,1.2192,1038.0554019474253,712.89,860.2437535340201,39.2812428580029,9.0325,9.405
