LocationID; Date; Time; ;Parameter; Method;; Unit; Value; Comment
BGD00002;1988-04-27;09:00;1.0;pH;pH-POT-25;;7.5;---;Fair
BGD00002;1988-06-13;10:15;1.0;pH;pH-POT-25;;8.05;---;Fair
BGD00002;1988-11-24;11:00;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
BGD00002;1988-11-24;11:00;1.0;O2-Dis;O2-ISE;;6.6;mg/l;Fair
BGD00002;1988-12-19;11:00;1.0;O2-Dis;O2-ISE;;7.2;mg/l;Fair
BGD00002;1994-02-15;11:15;1.0;O2-Dis;O2-ISE;;6.8;mg/l;Fair
BGD00002;1994-02-15;11:15;1.0;TEMP;TEMP-Hg;;24.0;°C;Fair
BGD00002;1994-03-18;10:45;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00002;1994-03-18;10:45;1.0;O2-Dis;O2-ISE;;7.0;mg/l;Fair
BGD00002;1994-04-15;10:15;1.0;pH;pH-POT-25;;7.1;---;Fair
BGD00002;1994-05-11;10:25;1.0;pH;pH-POT-25;;7.0;---;Fair
BGD00002;1994-05-11;10:25;1.0;TEMP;TEMP-Hg;;29.0;°C;Fair
BGD00002;1994-08-17;09:45;1.0;O2-Dis;O2-ISE;;7.5;mg/l;Fair
BGD00002;1994-09-19;10:15;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00002;1994-10-18;11:00;1.0;pH;pH-POT-25;;7.6;---;Fair
BGD00002;1994-10-18;11:00;1.0;BOD;BOD-T-COL-AZD;;1.1;mg/l;Fair
BGD00002;1994-11-13;11:45;1.0;BOD;BOD-T-COL-AZD;;1.1;mg/l;Fair
BGD00002;1995-03-11;11:15;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00002;1995-03-11;11:15;1.0;TEMP;TEMP-Hg;;22.5;°C;Fair
BGD00002;1995-05-18;10:00;1.0;O2-Dis;O2-ISE;;7.6;mg/l;Fair
BGD00002;1995-06-08;10:40;1.0;O2-Dis;O2-ISE;;7.8;mg/l;Fair
BGD00002;1995-06-08;10:40;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
BGD00002;1995-08-08;10:15;1.0;TEMP;TEMP-Hg;;28.0;°C;Fair
BGD00002;1995-11-19;11:00;1.0;O2-Dis;O2-ISE;;7.0;mg/l;Fair
BGD00002;1979-11-23;08:00;1.0;BOD;BOD-T-COL-AZD;;3.6;mg/l;Fair
BGD00002;1980-09-24;08:30;1.0;O2-Dis;O2-ISE;;6.4;mg/l;Fair
