time,temperature_2m (°C),precipitation_probability (%),diffuse_radiation (W/m²)
2023-07-04T18:00,32.2,10,90.0
2023-07-04T19:00,30.4,14,12.0
2023-07-04T20:00,29.7,19,0.0
2023-07-04T21:00,29.6,23,0.0
2023-07-04T22:00,29.2,27,0.0
2023-07-04T23:00,28.7,31,0.0
2023-07-05T00:00,28.5,35,0.0
2023-07-05T01:00,28.0,37,0.0
2023-07-05T02:00,27.7,40,0.0
2023-07-05T03:00,27.4,42,0.0
2023-07-05T04:00,27.4,34,0.0
2023-07-05T05:00,27.3,27,0.0
2023-07-05T06:00,27.4,19,16.0
2023-07-05T07:00,28.0,34,87.0
2023-07-05T08:00,28.6,50,153.0
2023-07-05T09:00,29.4,65,229.0
2023-07-05T10:00,30.5,73,248.0
2023-07-05T11:00,31.7,82,306.0
2023-07-05T12:00,32.8,90,356.0
2023-07-05T13:00,33.1,93,279.0
2023-07-05T14:00,32.9,97,213.0
2023-07-05T15:00,32.2,100,203.0
2023-07-05T16:00,31.4,100,177.0
2023-07-05T17:00,30.7,100,197.0
2023-07-05T18:00,30.6,100,97.0
2023-07-05T19:00,29.6,100,19.0
2023-07-05T20:00,29.0,100,0.0
2023-07-05T21:00,28.6,100,0.0
2023-07-05T22:00,28.2,82,0.0
2023-07-05T23:00,28.0,63,0.0
2023-07-06T00:00,27.8,45,0.0
2023-07-06T01:00,27.6,40,0.0
2023-07-06T02:00,27.4,34,0.0
2023-07-06T03:00,27.2,29,0.0
2023-07-06T04:00,26.9,33,0.0
2023-07-06T05:00,26.8,38,0.0
2023-07-06T06:00,27.0,42,11.0
2023-07-06T07:00,27.3,52,73.0
2023-07-06T08:00,27.9,61,138.0
2023-07-06T09:00,28.4,71,162.0
2023-07-06T10:00,28.3,79,162.0
2023-07-06T11:00,28.2,86,124.0
2023-07-06T12:00,30.6,94,145.0
2023-07-06T13:00,30.5,94,204.0
2023-07-06T14:00,30.4,94,229.0
2023-07-06T15:00,30.7,94,268.0
2023-07-06T16:00,29.6,92,163.0
2023-07-06T17:00,29.2,89,127.0
2023-07-06T18:00,29.0,87,53.0
2023-07-06T19:00,28.0,69,10.0
2023-07-06T20:00,27.6,50,0.0
2023-07-06T21:00,27.6,32,0.0
2023-07-06T22:00,27.4,40,0.0
2023-07-06T23:00,27.3,47,0.0
2023-07-07T00:00,27.4,55,0.0
2023-07-07T01:00,27.2,70,0.0
