id,dvd_status,dvd_haulage,dvd_lat,dvd_ph,dvd_tds,dvd_temp,dvd_ammonia,dvd_long,dvd_mileage,dvd_speed,dvd_meter_reading,dvd_bearing,dvd_bettery,dvd_created_at,dvd_updated_at,dvd_do,dvd_alkalinity,dvd_hardness,company_id,dvd_dev_id,dvd_dvg_id
369,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.947602",8.619,99.99,153.94,1,2,1
370,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.995980",8.619,99.99,153.94,1,2,1
371,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.043095",8.619,99.99,153.94,1,2,1
372,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.086256",8.619,99.99,153.94,1,2,1
373,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.114846",8.619,99.99,153.94,1,2,1
374,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.154395",8.619,99.99,153.94,1,2,1
375,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.197415",8.619,99.99,153.94,1,2,1
376,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.239020",8.619,99.99,153.94,1,2,1
377,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.279018",8.619,99.99,153.94,1,2,1
378,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.315193",8.619,99.99,153.94,1,2,1
379,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.355525",8.619,99.99,153.94,1,2,1
380,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.395040",8.619,99.99,153.94,1,2,1
381,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.439054",8.619,99.99,153.94,1,2,1
382,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.482221",8.619,99.99,153.94,1,2,1
383,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.523451",8.619,99.99,153.94,1,2,1
384,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.561995",8.619,99.99,153.94,1,2,1
385,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.604229",8.619,99.99,153.94,1,2,1
386,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.643771",8.619,99.99,153.94,1,2,1
387,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.688789",8.619,99.99,153.94,1,2,1
388,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.738183",8.619,99.99,153.94,1,2,1
389,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.776344",8.619,99.99,153.94,1,2,1
390,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.809909",8.619,99.99,153.94,1,2,1
391,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.853482",8.619,99.99,153.94,1,2,1
392,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.888513",8.619,99.99,153.94,1,2,1
393,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.923030",8.619,99.99,153.94,1,2,1
394,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.960602",8.619,99.99,153.94,1,2,1
395,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:58.000000","2023-06-20 09:27:58.998588",8.619,99.99,153.94,1,2,1
396,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.041724",8.619,99.99,153.94,1,2,1
397,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.079285",8.619,99.99,153.94,1,2,1
398,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.118448",8.619,99.99,153.94,1,2,1
399,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.158624",8.619,99.99,153.94,1,2,1
400,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.206294",8.619,99.99,153.94,1,2,1
401,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.246549",8.619,99.99,153.94,1,2,1
402,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.288297",8.619,99.99,153.94,1,2,1
403,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.332832",8.619,99.99,153.94,1,2,1
404,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.370836",8.619,99.99,153.94,1,2,1
405,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.424232",8.619,99.99,153.94,1,2,1
406,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.464650",8.619,99.99,153.94,1,2,1
407,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.498743",8.619,99.99,153.94,1,2,1
408,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.536279",8.619,99.99,153.94,1,2,1
409,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.579858",8.619,99.99,153.94,1,2,1
410,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.618444",8.619,99.99,153.94,1,2,1
411,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.658607",8.619,99.99,153.94,1,2,1
412,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.703063",8.619,99.99,153.94,1,2,1
413,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.738063",8.619,99.99,153.94,1,2,1
414,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.775623",8.619,99.99,153.94,1,2,1
415,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.817988",8.619,99.99,153.94,1,2,1
416,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.871540",8.619,99.99,153.94,1,2,1
417,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.910091",8.619,99.99,153.94,1,2,1
418,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.946811",8.619,99.99,153.94,1,2,1
419,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:59.000000","2023-06-20 09:27:59.992132",8.619,99.99,153.94,1,2,1
420,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.040306",8.619,99.99,153.94,1,2,1
421,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.077827",8.619,99.99,153.94,1,2,1
422,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.117418",8.619,99.99,153.94,1,2,1
423,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.154952",8.619,99.99,153.94,1,2,1
424,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.195929",8.619,99.99,153.94,1,2,1
425,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.237508",8.619,99.99,153.94,1,2,1
